"species","status","auc"
"Calopteryx splendens","SUCCESS",0.634358465608466
"Calopteryx virgo","SUCCESS",0.559445332859512
"Caltha palustris","SUCCESS",0.614902033730159
"Calystegia sepium","SUCCESS",0.579377177700348
"Campaea margaritaria","SUCCESS",0.641273148148148
"Campanula rotundifolia","SUCCESS",0.620619824016563
"Campanula trachelium","SUCCESS",0.663324882422105
"Camptogramma bilineata","SUCCESS",0.605333800186741
"Capreolus capreolus","SUCCESS",0.577909309791332
"Capsella bursa-pastoris","SUCCESS",0.553125
"Cardamine hirsuta","SUCCESS",0.593539043970079
"Carduelis carduelis","SUCCESS",0.689861542443064
"Carex acutiformis","SUCCESS",0.594181839402428
"Carex caryophyllea","SUCCESS",0.574404761904762
"Carex davalliana","SUCCESS",0.673653273809524
"Carex digitata","SUCCESS",0.597302591922845
"Carex elata","SUCCESS",0.574967366332498
"Carex flacca","SUCCESS",0.597368421052632
"Carex hirta","SUCCESS",0.617694554673721
"Carex montana","SUCCESS",0.669668294668295
"Carex pallescens","SUCCESS",0.640123200442968
"Carex panicea","SUCCESS",0.660817541302235
"Carex rostrata","SUCCESS",0.558620509607352
"Carex sylvatica","SUCCESS",0.563569921639542
"Carpinus betulus","SUCCESS",0.626965424147801
"Carterocephalus palaemon","SUCCESS",0.660231481481481
"Castor fiber","SUCCESS",0.69806446388079
"Celastrina argiolus","SUCCESS",0.565477587748714
"Centaurea jacea","SUCCESS",0.592772885409872
"Centaurea montana","SUCCESS",0.651530612244898
"Centaurea scabiosa","SUCCESS",0.681396771037182
"Cephalanthera damasonium","SUCCESS",0.6696910430839
"Cephalanthera longifolia","SUCCESS",0.694846109175377
"Cephalanthera rubra","SUCCESS",0.694384507275132
"Cerastium fontanum","SUCCESS",0.575217738610596
"Cerastium holosteoides","SUCCESS",0.626519756838906
"Certhia brachydactyla","SUCCESS",0.684554965236783
"Cetonia aurata","SUCCESS",0.696760010822511
"Chaerophyllum hirsutum","SUCCESS",0.769566326530612
"Chalcolestes viridis","SUCCESS",0.605076338444983
"Chelidonium majus","SUCCESS",0.617017123878537
"Chiasmia clathrata","SUCCESS",0.722449436763953
"Chloris chloris","SUCCESS",0.696082451499118
"Chorthippus biguttulus","SUCCESS",0.63200871898055
"Chorthippus brunneus","SUCCESS",0.744440836940837
"Chorthippus dorsatus","SUCCESS",0.597296022067364
"Chroicocephalus ridibundus","SUCCESS",0.841733374384236
"Chrysochraon dispar","SUCCESS",0.740075396825397
"Circaea lutetiana","SUCCESS",0.588501364087302
"Cirsium arvense","SUCCESS",0.589159976005906
"Cirsium oleraceum","SUCCESS",0.602269463340892
"Cirsium palustre","SUCCESS",0.556660353535353
"Cirsium vulgare","SUCCESS",0.618552642688281
"Clematis vitalba","SUCCESS",0.603492572242572
"Clinopodium vulgare","SUCCESS",0.591692104192104
"Coenagrion puella","SUCCESS",0.540547769740808
"Coenonympha pamphilus","SUCCESS",0.590291950113379
"Colchicum autumnale","SUCCESS",0.587488328664799
"Colias croceus","SUCCESS",0.614487942612943
"Colocasia coryli","SUCCESS",0.618886408730159
"Columba livia","SUCCESS",0.809201388888889
"Columba palumbus","SUCCESS",0.701351686507937
"Conocephalus fuscus","SUCCESS",0.445153379703942
"Convolvulus arvensis","SUCCESS",0.612058080808081
"Cordulegaster boltonii","SUCCESS",0.551772830344259
"Cordulia aenea","SUCCESS",0.608503128815629
"Cornus sanguinea","SUCCESS",0.605251984126984
"Corvus corax","SUCCESS",0.604015246449457
"Corvus corone","SUCCESS",0.728795442908346
"Corylus avellana","SUCCESS",0.580633940819126
"Cottus gobio","SUCCESS",0.633365766178266
"Craniophora ligustri","SUCCESS",0.657926829268293
"Crataegus monogyna","SUCCESS",0.628852513227513
"Crepis biennis","SUCCESS",0.570922741524593
"Crepis paludosa","SUCCESS",0.646873790166473
"Crocothemis erythraea","SUCCESS",0.622633219954648
"Cyaniris semiargus","SUCCESS",0.606331438047856
"Cyanistes caeruleus","SUCCESS",0.686766840882695
"Cygnus olor","SUCCESS",0.859753603822481
"Cynosurus cristatus","SUCCESS",0.563655273937532
"Cypripedium calceolus","SUCCESS",0.64520570132815
"Dactylis glomerata","SUCCESS",0.585347093382808
"Dactylorhiza maculata","SUCCESS",0.609616815476191
"Dactylorhiza majalis","SUCCESS",0.659692827748383
"Daphne mezereum","SUCCESS",0.680485151049667
"Daucus carota","SUCCESS",0.582413663663664
"Delichon urbicum","SUCCESS",0.703063725490196
"Dendrocopos major","SUCCESS",0.640931885574743
"Deschampsia cespitosa","SUCCESS",0.58747726521164
"Discus rotundatus","SUCCESS",0.659046378968254
"Dryopteris filix-mas","SUCCESS",0.588485101642996
"Echium vulgare","SUCCESS",0.660372732426304
"Ectropis crepuscularia","SUCCESS",0.540803303303303
"Elkalyce argiades","SUCCESS",0.601904246547104
"Elymus repens","SUCCESS",0.606640902629709
"Ematurga atomaria","SUCCESS",0.672685185185185
"Enallagma cyathigerum","SUCCESS",0.601129148629149
"Epidalea calamita","SUCCESS",0.716836043360434
"Epilobium montanum","SUCCESS",0.547059120258273
"Epipactis helleborine","SUCCESS",0.593762400793651
"Epipactis palustris","SUCCESS",0.588718820861678
"Epirrhoe alternata","SUCCESS",0.617914578111946
"Equisetum arvense","SUCCESS",0.514637188208617
"Equisetum palustre","SUCCESS",0.614079203109815
"Erigeron annuus","SUCCESS",0.684900793650794
"Erinaceus europaeus","SUCCESS",0.589610145860146
"Eriophorum angustifolium","SUCCESS",0.65031512605042
"Eriophorum latifolium","SUCCESS",0.64428247489472
"Erithacus rubecula","SUCCESS",0.682561132561133
"Erynnis tages","SUCCESS",0.546440018315018
"Erythromma viridulum","SUCCESS",0.651124962563642
"Euclidia glyphica","SUCCESS",0.641208513708514
"Euonymus europaeus","SUCCESS",0.633569071192834
"Eupatorium cannabinum","SUCCESS",0.627518626498218
"Euphorbia cyparissias","SUCCESS",0.703399943310658
"Euphydryas aurinia","SUCCESS",0.713858182161754
"Euplagia quadripunctaria","SUCCESS",0.637797619047619
"Fagus sylvatica","SUCCESS",0.588294506020799
"Falco tinnunculus","SUCCESS",0.693715493443754
"Festuca rubra","SUCCESS",0.556111382909328
"Ficaria verna","SUCCESS",0.560660980810235
"Filipendula ulmaria","SUCCESS",0.601886692176871
"Fragaria vesca","SUCCESS",0.613110739087302
"Frangula alnus","SUCCESS",0.589091743662639
"Fraxinus excelsior","SUCCESS",0.614844990079365
"Fringilla coelebs","SUCCESS",0.723039577187807
"Fulica atra","SUCCESS",0.789366796398046
"Galeopsis tetrahit","SUCCESS",0.563133753501401
"Galium album","SUCCESS",0.584462008847255
"Galium aparine","SUCCESS",0.602401337247228
"Galium odoratum","SUCCESS",0.615965496368039
"Galium palustre","SUCCESS",0.580140128968254
"Galium verum","SUCCESS",0.632083107864358
"Gallinula chloropus","SUCCESS",0.799138666369975
"Garrulus glandarius","SUCCESS",0.650995263696877
"Gentiana asclepiadea","SUCCESS",0.720445134575569
"Geranium pyrenaicum","SUCCESS",0.583359512786596
"Geranium robertianum","SUCCESS",0.577233692956349
"Geum rivale","SUCCESS",0.679213588588589
"Geum urbanum","SUCCESS",0.565343108788231
"Glechoma hederacea","SUCCESS",0.597207913614164
"Glis glis","SUCCESS",0.641397028897029
"Gomphocerippus rufus","SUCCESS",0.620621929327286
"Gonepteryx rhamni","SUCCESS",0.556094487344487
"Gryllus campestris","SUCCESS",0.613173918992885
"Gymnadenia conopsea","SUCCESS",0.631531084656085
"Halictus tumulorum","SUCCESS",0.460362339380196
"Hedera helix","SUCCESS",0.634819223985891
"Helix pomatia","SUCCESS",0.601795440398382
"Heracleum mantegazzianum","SUCCESS",0.614651799687011
"Heracleum sphondylium","SUCCESS",0.552188492063492
"Hippocrepis comosa","SUCCESS",0.667021329365079
"Hirundo rustica","SUCCESS",0.659733245149912
"Holcus lanatus","SUCCESS",0.590250933706816
"Hyla arborea","SUCCESS",0.781659226190476
"Hylaeus communis","SUCCESS",0.543568121693122
"Hypericum perforatum","SUCCESS",0.618039021164021
"Hypochaeris radicata","SUCCESS",0.62938258636788
"Ichthyosaura alpestris","SUCCESS",0.561689600082457
"Ilex aquifolium","SUCCESS",0.661806567865241
"Impatiens glandulifera","SUCCESS",0.738682344522508
"Iris pseudacorus","SUCCESS",0.572318175904241
"Ischnura elegans","SUCCESS",0.572180093498587
"Ischnura pumilio","SUCCESS",0.610611471861472
"Issoria lathonia","SUCCESS",0.700742544492544
"Juglans regia","SUCCESS",0.583059163059163
"Juncus articulatus","SUCCESS",0.557830901177675
"Juncus effusus","SUCCESS",0.524503968253968
"Juncus inflexus","SUCCESS",0.585839863371509
"Knautia arvensis","SUCCESS",0.605456349206349
"Knautia dipsacifolia","SUCCESS",0.659761904761905
"Lacerta agilis","SUCCESS",0.584620126367699
"Ladoga camilla","SUCCESS",0.620064077543586
"Lamium galeobdolon","SUCCESS",0.588267249103943
"Lamium purpureum","SUCCESS",0.613944892473118
"Larix decidua","SUCCESS",0.661374627976191
"Larus michahellis","SUCCESS",0.820155638012781
"Lasioglossum calceatum","SUCCESS",0.605409226190476
"Lasioglossum laticeps","SUCCESS",0.532845345345345
"Lasioglossum malachurum","SUCCESS",0.612157999164578
"Lasioglossum morio","SUCCESS",0.557455357142857
"Lasioglossum pauxillum","SUCCESS",0.575994981325864
"Lasioglossum villosulum","SUCCESS",0.46859410430839
"Lasiommata megera","SUCCESS",0.607369347109913
"Lathyrus pratensis","SUCCESS",0.578539291303376
"Leontodon hispidus","SUCCESS",0.682401255075674
"Lepus europaeus","SUCCESS",0.64217772967773
"Leucanthemum vulgare","SUCCESS",0.597561177248677
"Libellula depressa","SUCCESS",0.574000533049041
"Libellula fulva","SUCCESS",0.637940416065416
"Libellula quadrimaculata","SUCCESS",0.57276862026862
"Ligdia adustata","SUCCESS",0.661434331797235
"Ligustrum vulgare","SUCCESS",0.623958866700802
"Lilium martagon","SUCCESS",0.72151455026455
"Linum catharticum","SUCCESS",0.646908068783069
"Lissotriton helveticus","SUCCESS",0.667270531400966
"Lissotriton vulgaris","SUCCESS",0.628998447204969
"Lolium multiflorum","SUCCESS",0.577975050173326
"Lolium perenne","SUCCESS",0.587982503607504
"Lolium pratense","SUCCESS",0.590533794162826
"Lomaspilis marginata","SUCCESS",0.595395171957672
"Lonicera xylosteum","SUCCESS",0.644128787878788
"Lotus corniculatus","SUCCESS",0.623756499726327
"Loweia tityrus","SUCCESS",0.629263510959939
"Luzula campestris","SUCCESS",0.640248917748918
"Luzula multiflora","SUCCESS",0.567282948532948
"Lysimachia nemorum","SUCCESS",0.620921651180798
"Lysimachia vulgaris","SUCCESS",0.595256259780908
"Lythrum salicaria","SUCCESS",0.532153555866791
"Macroglossum stellatarum","SUCCESS",0.579001913265306
"Maianthemum bifolium","SUCCESS",0.61906607604282
"Maniola jurtina","SUCCESS",0.587864729225023
"Mareca strepera","SUCCESS",0.808077356456986
"Martes foina","SUCCESS",0.574880179344465
"Martes martes","SUCCESS",0.627644969278034
"Mecostethus parapleurus","SUCCESS",0.628803202697008
"Medicago lupulina","SUCCESS",0.605788754895898
"Medicago sativa","SUCCESS",0.673215287798621
"Melanargia galathea","SUCCESS",0.633346560846561
"Meles meles","SUCCESS",0.631738497086598
"Melica nutans","SUCCESS",0.591646141215107
"Melitaea diamina","SUCCESS",0.793440355940356
"Melittis melissophyllum","SUCCESS",0.756083622685185
"Mentha aquatica","SUCCESS",0.607529239766082
"Mercurialis perennis","SUCCESS",0.617538722478239
"Mergus merganser","SUCCESS",0.817409635955832
"Milvus migrans","SUCCESS",0.688817239858907
"Milvus milvus","SUCCESS",0.683021885521885
"Molinia caerulea","SUCCESS",0.583735670194004
"Monachoides incarnatus","SUCCESS",0.622812097812098
"Motacilla alba","SUCCESS",0.768988337204801
"Motacilla cinerea","SUCCESS",0.758537060657596
"Mustela erminea","SUCCESS",0.590758928571429
"Mustela putorius","SUCCESS",0.583091676841677
"Mycelis muralis","SUCCESS",0.621338965693804
"Myosotis arvensis","SUCCESS",0.60411915940085
"Natrix helvetica","SUCCESS",0.641203703703704
"Nemobius sylvestris","SUCCESS",0.652298683701123
"Neottia nidus-avis","SUCCESS",0.680733790691418
"Neottia ovata","SUCCESS",0.625709141681364
"Netta rufina","SUCCESS",0.907831850688994
"Noctua comes","SUCCESS",0.677948288690476
"Noctua pronuba","SUCCESS",0.650117243867244
"Ochlodes venata","SUCCESS",0.579327286470144
"Ochropleura plecta","SUCCESS",0.574346405228758
"Onobrychis viciifolia","SUCCESS",0.619199416714477
"Opisthograptis luteolata","SUCCESS",0.628664021164021
"Orchis mascula","SUCCESS",0.662126322751323
"Orchis militaris","SUCCESS",0.707686237373737
"Origanum vulgare","SUCCESS",0.586581101190476
"Orthetrum brunneum","SUCCESS",0.574179445789615
"Orthetrum cancellatum","SUCCESS",0.578778594771242
"Orthetrum coerulescens","SUCCESS",0.556452991452991
"Oxalis acetosella","SUCCESS",0.608922066094197
"Papilio machaon","SUCCESS",0.618957431457431
"Pararge aegeria","SUCCESS",0.588005291005291
"Paris quadrifolia","SUCCESS",0.60041044195456
"Parnassia palustris","SUCCESS",0.696939865689866
"Parus major","SUCCESS",0.714624092531069
"Passer domesticus","SUCCESS",0.786132970137207
"Passer montanus","SUCCESS",0.67932208994709
"Periparus ater","SUCCESS",0.606538318452381
"Petasites albus","SUCCESS",0.724748354626403
"Phalacrocorax carbo","SUCCESS",0.792624311629414
"Phaneroptera falcata","SUCCESS",0.689292073667074
"Phlogophora meticulosa","SUCCESS",0.656424216027875
"Phoenicurus ochruros","SUCCESS",0.684297338464005
"Pholidoptera griseoaptera","SUCCESS",0.639146609730849
"Phragmites australis","SUCCESS",0.534315883887802
"Phylloscopus collybita","SUCCESS",0.680164866633939
"Phyteuma spicatum","SUCCESS",0.61536044973545
"Pica pica","SUCCESS",0.704626553463763
"Picea abies","SUCCESS",0.611092509920635
"Picris hieracioides","SUCCESS",0.611817956349206
"Picus viridis","SUCCESS",0.678046679197995
"Pieris brassicae","SUCCESS",0.590240429505135
"Pieris mannii","SUCCESS",0.58970596340388
"Pieris napi","SUCCESS",0.596301737994776
"Pieris rapae","SUCCESS",0.583506274131274
"Pilosella officinarum","SUCCESS",0.638201703445606
"Pimpinella major","SUCCESS",0.61773538961039
"Pimpinella saxifraga","SUCCESS",0.693307200929152
"Pinus sylvestris","SUCCESS",0.639847883597884
"Plantago lanceolata","SUCCESS",0.60452701914099
"Plantago major","SUCCESS",0.568427885557515
"Plantago media","SUCCESS",0.635109819121447
"Platanthera bifolia","SUCCESS",0.670895002145002
"Platycnemis pennipes","SUCCESS",0.607314898533253
"Poa annua","SUCCESS",0.600600117096019
"Poa nemoralis","SUCCESS",0.62593878600823
"Poa pratensis","SUCCESS",0.58572619047619
"Poa trivialis","SUCCESS",0.584759727061556
"Podarcis muralis","SUCCESS",0.705681471306471
"Podiceps cristatus","SUCCESS",0.811443865740741
"Poecile palustris","SUCCESS",0.659590716131414
"Polygonatum multiflorum","SUCCESS",0.609774245063879
"Polygonia c-album","SUCCESS",0.590765809011777
"Polyommatus icarus","SUCCESS",0.532200963718821
"Polystichum aculeatum","SUCCESS",0.580995175848117
"Populus tremula","SUCCESS",0.583908186562296
"Potentilla erecta","SUCCESS",0.637925861401471
"Potentilla reptans","SUCCESS",0.583967223252937
"Potentilla sterilis","SUCCESS",0.586486746802281
"Potentilla verna","SUCCESS",0.666630116959064
"Poterium sanguisorba","SUCCESS",0.664025297619048
"Prenanthes purpurea","SUCCESS",0.690007716049383
"Primula elatior","SUCCESS",0.59077614379085
"Primula veris","SUCCESS",0.632949959644875
"Prunella grandiflora","SUCCESS",0.604827008928571
"Prunella vulgaris","SUCCESS",0.55077269170579
"Prunus avium","SUCCESS",0.580993303571429
"Prunus laurocerasus","SUCCESS",0.712504487906274
"Prunus padus","SUCCESS",0.580876178974005
"Prunus spinosa","SUCCESS",0.59973836756925
"Pseudochorthippus montanus","SUCCESS",0.668049450549451
"Pseudochorthippus parallelus","SUCCESS",0.627030742015682
"Pteridium aquilinum","SUCCESS",0.63575428827445
"Pteronemobius heydenii","SUCCESS",0.605982694003527
"Pyrgus malvae","SUCCESS",0.635314207650273
"Pyrrhosoma nymphula","SUCCESS",0.530707858260675
"Quercus robur","SUCCESS",0.605308167570826
"Rana temporaria","SUCCESS",0.615378401360544
"Ranunculus acris","SUCCESS",0.519760228034876
"Ranunculus bulbosus","SUCCESS",0.710281211843712
"Ranunculus repens","SUCCESS",0.567376984126984
"Reynoutria japonica","SUCCESS",0.772879464285714
"Rhinanthus alectorolophus","SUCCESS",0.551454667011732
"Rhus typhina","SUCCESS",0.714581363976525
"Rivula sericealis","SUCCESS",0.594782647907648
"Robinia pseudoacacia","SUCCESS",0.694620283243038
"Roeseliana roeselii","SUCCESS",0.564989316239316
"Rosa arvensis","SUCCESS",0.635443214844623
"Rosa canina","SUCCESS",0.608035714285714
"Rubus armeniacus","SUCCESS",0.694092862798326
"Rubus caesius","SUCCESS",0.552829264617239
"Rubus idaeus","SUCCESS",0.592314118629908
"Rumex acetosa","SUCCESS",0.553341521793903
"Rumex obtusifolius","SUCCESS",0.547722119150691
"Ruspolia nitidula","SUCCESS",0.67816658649992
"Rutpela maculata","SUCCESS",0.680394935752079
"Salamandra salamandra","SUCCESS",0.608212759462759
"Salix caprea","SUCCESS",0.56845703125
"Salmo trutta","SUCCESS",0.578704540888085
"Salvia pratensis","SUCCESS",0.6131919328913
"Sambucus nigra","SUCCESS",0.603244556369556
"Sambucus racemosa","SUCCESS",0.581205153294194
"Scabiosa columbaria","SUCCESS",0.619101872519841
"Schoenoplectus lacustris","SUCCESS",0.581162976886661
"Scirpus sylvaticus","SUCCESS",0.617052261156035
"Sciurus vulgaris","SUCCESS",0.55561974789916
"Sedum album","SUCCESS",0.679022108843537
"Senecio inaequidens","SUCCESS",0.733970643231114
"Senecio vulgaris","SUCCESS",0.604284641784642
"Silene dioica","SUCCESS",0.709470390720391
"Silene flos-cuculi","SUCCESS",0.553258860621874
"Silene vulgaris","SUCCESS",0.666548008092126
"Sitta europaea","SUCCESS",0.62639772905862
"Solidago canadensis","SUCCESS",0.670468310928837
"Solidago gigantea","SUCCESS",0.666339653145209
"Solidago virgaurea","SUCCESS",0.688716583124478
"Somatochlora flavomaculata","SUCCESS",0.599134582911179
"Somatochlora metallica","SUCCESS",0.590352787456446
"Sonchus asper","SUCCESS",0.598750734861846
"Sorbus aucuparia","SUCCESS",0.590079365079365
"Spilosoma lubricipeda","SUCCESS",0.64656498015873
"Stachys sylvatica","SUCCESS",0.59265296234773
"Stellaria graminea","SUCCESS",0.584636370573871
"Stellaria media","SUCCESS",0.589364035087719
"Stenurella melanura","SUCCESS",0.686771453373016
"Stethophyma grossum","SUCCESS",0.630796682098765
"Streptopelia decaocto","SUCCESS",0.718213383838384
"Sturnus vulgaris","SUCCESS",0.685947076850542
"Succisa pratensis","SUCCESS",0.619976771196283
"Sus scrofa","SUCCESS",0.806341575091575
"Sylvia atricapilla","SUCCESS",0.712522461814915
"Sympecma fusca","SUCCESS",0.675186642453592
"Sympetrum depressiusculum","SUCCESS",0.666267730496454
"Sympetrum sanguineum","SUCCESS",0.593976972101972
"Sympetrum striolatum","SUCCESS",0.633495670995671
"Sympetrum vulgatum","SUCCESS",0.604371843434343
"Tachybaptus ruficollis","SUCCESS",0.79187813283208
"Tettigonia viridissima","SUCCESS",0.668686713191024
"Teucrium chamaedrys","SUCCESS",0.70797335600907
"Tragopogon pratensis","SUCCESS",0.615111008483853
"Trifolium medium","SUCCESS",0.612714947089947
"Trifolium pratense","SUCCESS",0.568719362745098
"Trifolium repens","SUCCESS",0.591191678691679
"Trisetum flavescens","SUCCESS",0.603842120181406
"Trochulus hispidus","SUCCESS",0.689349718381976
"Troglodytes troglodytes","SUCCESS",0.673399718142709
"Turdus merula","SUCCESS",0.723600452577725
"Turdus philomelos","SUCCESS",0.613931258267196
"Turdus pilaris","SUCCESS",0.704216803208739
"Turdus viscivorus","SUCCESS",0.575535113035113
"Tussilago farfara","SUCCESS",0.599370421245421
"Ulmus glabra","SUCCESS",0.509898424543947
"Urtica dioica","SUCCESS",0.600442033353426
"Valeriana dioica","SUCCESS",0.623274587612823
"Vanessa atalanta","SUCCESS",0.542779386529387
"Vanessa cardui","SUCCESS",0.56608747665733
"Veronica arvensis","SUCCESS",0.628726851851852
"Veronica beccabunga","SUCCESS",0.545862586487586
"Veronica chamaedrys","SUCCESS",0.580936458945718
"Veronica officinalis","SUCCESS",0.607568993506494
"Veronica persica","SUCCESS",0.592274896069539
"Veronica urticifolia","SUCCESS",0.750926870748299
"Viburnum lantana","SUCCESS",0.611968485691113
"Viburnum opulus","SUCCESS",0.558975517290249
"Vicia cracca","SUCCESS",0.604887057387057
"Vicia sepium","SUCCESS",0.587003968253968
"Vincetoxicum hirundinaria","SUCCESS",0.647361845972957
"Viola hirta","SUCCESS",0.625409878863826
"Viola reichenbachiana","SUCCESS",0.623882469654528
"Vulpes vulpes","SUCCESS",0.606343694885362
"Zygaena filipendulae","SUCCESS",0.599185759209344
